Id ;Heure;Debit;Total;Pression;Densite
1;09:21:38;0;0;0;
2;09:21:48;0;0;0;
3;09:21:58;0;0;0;
4;09:22:08;0;0;0;
5;09:22:18;0;0;0;
6;09:22:28;0;0;0;
7;09:22:38;0;0;0;
8;09:22:48;0;0;0;
9;09:22:58;0;0;0;
10;09:23:08;0;0;0;
11;09:23:18;0;0;0;
12;09:23:28;0;0;0;
13;09:23:38;0;0;0;
14;09:23:48;0;0;0;
15;09:23:58;0;0;0;
16;09:24:08;0;0;0;
17;09:24:18;0;0;0;
18;09:24:28;0;0;0;
19;09:24:38;0;0;0;
20;09:24:48;0;0;0;
21;09:24:58;0;0;0;
22;09:25:08;0;0;0;
23;09:25:18;0;0;0;
24;09:25:28;0;0;0;
25;09:25:38;0;0;0;
26;09:25:48;0;0;0;
27;09:25:58;0;0;0;
28;09:26:08;0;0;0;
29;09:26:18;0;0;0;
30;09:26:28;0;0;0;
31;09:26:38;0;0;0;
32;09:26:48;0;0;0;
33;09:26:58;0;0;0;
34;09:27:08;0;0;0;
35;09:27:18;0;0;0;
36;09:27:28;0;0;0;
37;09:27:38;24,25;0;0;
38;09:27:48;48,5;0;0;
39;09:27:58;72,75;0;0;
40;09:28:08;83,16666667;0;0;
41;09:28:18;83,16666667;0;0;
42;09:28:28;83,16666667;0;0;
43;09:28:38;83,16666667;0;0;
44;09:28:48;83,16666667;0;0;
45;09:28:58;83,16666667;0;0;
46;09:29:08;83,16666667;0;0;
47;09:29:18;83,16666667;1;0;
48;09:29:28;83,16666667;42;0;
49;09:29:38;58,91666667;91;0;
50;09:29:48;34,66666667;135;0;
51;09:29:58;10,41666667;180;0;
52;09:30:08;0;180;12;
53;09:30:18;0;180;17;
54;09:30:28;0;180;65;
55;09:30:38;0;180;80;
56;09:30:48;0;180;165;
57;09:30:58;20,83333333;180;9;
58;09:31:08;20,83333333;180;79;
59;09:31:18;20,83333333;180;71;
60;09:31:28;20,83333333;180;96;
61;09:31:38;20,83333333;180;7;
62;09:31:48;20,83333333;180;1;
63;09:31:58;20,83333333;180;106;
64;09:32:08;20,83333333;180;24;
65;09:32:18;20,83333333;180;3;
66;09:32:28;20,83333333;180;1;
67;09:32:38;20,83333333;180;0;
68;09:32:48;20,83333333;185;0;
69;09:32:58;0;191;0;
70;09:33:08;0;191;0;
71;09:33:18;0;191;0;
72;09:33:28;0;191;15;
73;09:33:38;0;191;32;
74;09:33:48;0;191;67;
75;09:33:58;0;191;109;
76;09:34:08;0;191;136;
77;09:34:18;0;191;129;
78;09:34:28;0;191;135;
79;09:34:38;0;191;155;
80;09:34:48;0;191;144;
81;09:34:58;0;191;135;
82;09:35:08;0;191;126;
83;09:35:18;0;191;118;
84;09:35:28;24,25;191;111;
85;09:35:38;48,5;191;104;
86;09:35:48;72,75;191;98;
87;09:35:58;97;191;92;
88;09:36:08;121,25;191;86;
89;09:36:18;145,5;191;80;
90;09:36:28;169,75;191;75;
91;09:36:38;197,5;191;68;
92;09:36:48;225,25;191;50;
93;09:36:58;253;191;9;
94;09:37:08;280,75;191;0;
95;09:37:18;308,5;228;0;
96;09:37:28;312;277;0;
97;09:37:38;315,5;327;0;
98;09:37:48;319;376;0;
99;09:37:58;308,5833333;426;0;
100;09:38:08;298,1666667;476;0;
101;09:38:18;291,25;525;0;
102;09:38:28;284,3333333;577;0;
103;09:38:38;277,4166667;630;0;
104;09:38:48;270,5;684;0;
105;09:38:58;263,5833333;739;0;
106;09:39:08;253,1666667;795;0;
107;09:39:18;246,25;850;0;
108;09:39:28;235,8333333;906;0;
109;09:39:38;225,4166667;962;0;
110;09:39:48;218,5;999;10;
111;09:39:58;225,5;1028;9;
112;09:40:08;229;1055;9;
113;09:40:18;229;1082;8;
114;09:40:28;232,5;1114;18;
115;09:40:38;229;1157;36;
116;09:40:48;225,5;1197;37;
117;09:40:58;222;1236;38;
118;09:41:08;222;1276;39;
119;09:41:18;222;1314;41;
120;09:41:28;222;1353;41;
121;09:41:38;222;1391;41;
122;09:41:48;218,5;1426;41;
123;09:41:58;215;1464;41;
124;09:42:08;204,5833333;1502;41;
125;09:42:18;194,1666667;1540;41;
126;09:42:28;176,75;1577;41;
127;09:42:38;166,3333333;1615;43;
128;09:42:48;155,9166667;1652;42;
129;09:42:58;142;1689;43;
130;09:43:08;131,5833333;1725;43;
131;09:43:18;110,75;1761;43;
132;09:43:28;93,41666667;1798;42;
133;09:43:38;76,08333333;1835;43;
134;09:43:48;58,75;1870;38;
135;09:43:58;41,41666667;1873;0;
136;09:44:08;55,33333333;1884;0;
137;09:44:18;69,25;1897;0;
138;09:44:28;90,08333333;1910;0;
139;09:44:38;90,08333333;1923;0;
140;09:44:48;90,08333333;5;0;
141;09:44:58;93,58333333;19;0;
142;09:45:08;97,08333333;21;0;
143;09:45:18;104;21;0;
144;09:45:28;114,4166667;0;0;
145;09:45:38;128,25;0;0;
146;09:45:48;142,0833333;0;0;
147;09:45:58;159,4166667;3;0;
148;09:46:08;152,4166667;46;0;
149;09:46:18;148,9166667;90;0;
150;09:46:28;138,5;109;1;
151;09:46:38;148,9166667;126;2;
152;09:46:48;159,3333333;143;3;
153;09:46:58;173,25;160;3;
154;09:47:08;180,1666667;7;3;
155;09:47:18;190,5833333;23;3;
156;09:47:28;197,5;44;11;
157;09:47:38;201;75;29;
158;09:47:48;204,5;107;36;
159;09:47:58;208;142;37;
160;09:48:08;215;177;39;
161;09:48:18;218,5;212;40;
162;09:48:28;222;247;42;
163;09:48:38;225,5;283;42;
164;09:48:48;229;318;43;
165;09:48:58;225,5;353;44;
166;09:49:08;229;389;48;
167;09:49:18;232,5;427;50;
168;09:49:28;232,5;465;51;
169;09:49:38;236;505;52;
170;09:49:48;236;543;53;
171;09:49:58;236;583;53;
172;09:50:08;236;622;54;
173;09:50:18;236;662;55;
174;09:50:28;239,5;702;55;
175;09:50:38;239,5;742;56;
176;09:50:48;239,5;782;56;
177;09:50:58;246,4166667;822;55;
178;09:51:08;242,9166667;863;56;
179;09:51:18;242,9166667;902;57;
180;09:51:28;246,4166667;942;56;
181;09:51:38;242,9166667;982;57;
182;09:51:48;246,4166667;1022;56;
183;09:51:58;242,9166667;1062;58;
184;09:52:08;242,9166667;1102;57;
185;09:52:18;239,4166667;1142;57;
186;09:52:28;235,9166667;1182;58;
187;09:52:38;232,4166667;1222;58;
188;09:52:48;232,4166667;1261;58;
189;09:52:58;229;1301;58;
190;09:53:08;232,5;1341;58;
191;09:53:18;232,5;1381;59;
192;09:53:28;229;1420;58;
193;09:53:38;232,5;1460;58;
194;09:53:48;232,5;1496;59;
195;09:53:58;232,5;1536;58;
196;09:54:08;232,5;1576;59;
197;09:54:18;236;1616;60;
198;09:54:28;236;1656;60;
199;09:54:38;236;1696;60;
200;09:54:48;236;1736;60;
201;09:54:58;232,5;1775;60;
202;09:55:08;232,5;1815;60;
203;09:55:18;232,5;1854;60;
204;09:55:28;236;1893;61;
205;09:55:38;236;1932;60;
206;09:55:48;232,5;1971;61;
207;09:55:58;232,5;2010;59;
208;09:56:08;229;2049;59;
209;09:56:18;225,5;2087;60;
210;09:56:28;225,5;2126;59;
211;09:56:38;225,5;2165;60;
212;09:56:48;222;2203;60;
213;09:56:58;222;2242;59;
214;09:57:08;218,5;2281;59;
215;09:57:18;215;2320;60;
216;09:57:28;211,5;2358;60;
217;09:57:38;211,5;2397;60;
218;09:57:48;211,5;2435;60;
219;09:57:58;215;2473;60;
220;09:58:08;218,5;2510;59;
221;09:58:18;218,5;2548;59;
222;09:58:28;218,5;2585;59;
223;09:58:38;218,5;2622;59;
224;09:58:48;222;2659;59;
225;09:58:58;222;2696;59;
226;09:59:08;222;2733;59;
227;09:59:18;222;2770;59;
228;09:59:28;222;2807;58;
229;09:59:38;218,5;2844;58;
230;09:59:48;218,5;2878;58;
231;09:59:58;215;2914;59;
232;10:00:08;215;2951;60;
233;10:00:18;215;2987;60;
234;10:00:28;215;3023;60;
235;10:00:38;218,5;3060;58;
236;10:00:48;215;3097;60;
237;10:00:58;218,5;3134;59;
238;10:01:08;222;3171;59;
239;10:01:18;225,5;3208;59;
240;10:01:28;229;3245;59;
241;10:01:38;229;3281;59;
242;10:01:48;229;3317;59;
243;10:01:58;232,5;3354;59;
244;10:02:08;229;3391;59;
245;10:02:18;232,5;3428;59;
246;10:02:28;236;3465;59;
247;10:02:38;232,5;3502;58;
248;10:02:48;232,5;3540;58;
249;10:02:58;232,5;3577;60;
250;10:03:08;229;3614;59;
251;10:03:18;225,5;3651;59;
252;10:03:28;225,5;3687;60;
253;10:03:38;229;3724;59;
254;10:03:48;232,5;3761;59;
255;10:03:58;229;3798;58;
256;10:04:08;229;3835;59;
257;10:04:18;225,5;3871;59;
258;10:04:28;222;3908;59;
259;10:04:38;222;3945;59;
260;10:04:48;222;3982;58;
261;10:04:58;222;4019;59;
262;10:05:08;222;4056;59;
263;10:05:18;222;4093;58;
264;10:05:28;218,5;4129;60;
265;10:05:38;211,5;4165;59;
266;10:05:48;208;4202;60;
267;10:05:58;208;4235;59;
268;10:06:08;208;4271;59;
269;10:06:18;208;4307;60;
270;10:06:28;211,5;4343;60;
271;10:06:38;211,5;4378;60;
272;10:06:48;211,5;4414;60;
273;10:06:58;208;4450;59;
274;10:07:08;204,5;4485;60;
275;10:07:18;201;4520;61;
276;10:07:28;197,5;4553;61;
277;10:07:38;201;4587;59;
278;10:07:48;201;4619;61;
279;10:07:58;197,5;4652;60;
280;10:08:08;197,5;4684;60;
281;10:08:18;194;4716;61;
282;10:08:28;187;4749;61;
283;10:08:38;187;4781;58;
284;10:08:48;190,5;4814;58;
285;10:08:58;190,5;4847;59;
286;10:09:08;194;4879;60;
287;10:09:18;201;4910;60;
288;10:09:28;208;4942;59;
289;10:09:38;208;4975;57;
290;10:09:48;208;5009;56;
291;10:09:58;215;5043;57;
292;10:10:08;218,5;5077;57;
293;10:10:18;222;5110;59;
294;10:10:28;225,5;5143;59;
295;10:10:38;225,5;5178;56;
296;10:10:48;218,5;5212;60;
297;10:10:58;222;5247;59;
298;10:11:08;222;5283;57;
299;10:11:18;222;5320;57;
300;10:11:28;222;5356;57;
301;10:11:38;225,5;5392;58;
302;10:11:48;232,4166667;5429;57;
303;10:11:58;228,9166667;5462;56;
304;10:12:08;232,3333333;5498;56;
305;10:12:18;239,25;5535;56;
306;10:12:28;242,75;5572;56;
307;10:12:38;249,6666667;5610;56;
308;10:12:48;256,6666667;5648;54;
309;10:12:58;260,0833333;5687;54;
310;10:13:08;267;5726;54;
311;10:13:18;270,4166667;5765;53;
312;10:13:28;273,8333333;5806;52;
313;10:13:38;277,25;5847;51;
314;10:13:48;273,8333333;5889;53;
315;10:13:58;280,75;5932;54;
316;10:14:08;280,75;5975;55;
317;10:14:18;280,75;6021;57;
318;10:14:28;287,6666667;6066;57;
319;10:14:38;287,6666667;6113;57;
320;10:14:48;294,5833333;6159;57;
321;10:14:58;298,0833333;6206;56;
322;10:15:08;301,5833333;6253;57;
323;10:15:18;305,0833333;6302;59;
324;10:15:28;308,5833333;6351;60;
325;10:15:38;308,5833333;6401;60;
326;10:15:48;315,5;6451;61;
327;10:15:58;319;6501;61;
328;10:16:08;319;6552;62;
329;10:16:18;322,5;6604;64;
330;10:16:28;319;6655;63;
331;10:16:38;315,5833333;6706;62;
332;10:16:48;312,0833333;6758;62;
333;10:16:58;308,5833333;6809;61;
334;10:17:08;305,0833333;6861;61;
335;10:17:18;301,5833333;6912;61;
336;10:17:28;298,0833333;6964;61;
337;10:17:38;301,5833333;7016;60;
338;10:17:48;298,0833333;7068;60;
339;10:17:58;298,0833333;7120;60;
340;10:18:08;301,5833333;7167;60;
341;10:18:18;301,5833333;7219;60;
342;10:18:28;301,5833333;7272;60;
343;10:18:38;308,5;7324;60;
344;10:18:48;312;7377;60;
345;10:18:58;315,5;7429;60;
346;10:19:08;319;7482;60;
347;10:19:18;322,5;7535;59;
348;10:19:28;326;7588;59;
349;10:19:38;326;7641;59;
350;10:19:48;329,5;7694;59;
351;10:19:58;329,5;7747;59;
352;10:20:08;329,5;7800;59;
353;10:20:18;329,5;7853;58;
354;10:20:28;329,5;7906;59;
355;10:20:38;329,5;7960;59;
356;10:20:48;329,5;8013;59;
357;10:20:58;329,5;8067;59;
358;10:21:08;329,5;8120;59;
359;10:21:18;326;8174;59;
360;10:21:28;326;8227;59;
361;10:21:38;322,5;8281;59;
362;10:21:48;322,5;8335;58;
363;10:21:58;322,5;8389;58;
364;10:22:08;319;8442;58;
365;10:22:18;319;8496;58;
366;10:22:28;322,5;8550;58;
367;10:22:38;319;8604;59;
368;10:22:48;319;8658;58;
369;10:22:58;319;8713;59;
370;10:23:08;319;8761;59;
371;10:23:18;322,5;8815;59;
372;10:23:28;319;8870;58;
373;10:23:38;322,5;8924;58;
374;10:23:48;322,5;8978;58;
375;10:23:58;322,5;9032;58;
376;10:24:08;326;9087;58;
377;10:24:18;326;9141;59;
378;10:24:28;326;9195;58;
379;10:24:38;333;9250;58;
380;10:24:48;336,5;9304;58;
381;10:24:58;336,5;9358;58;
382;10:25:08;340;9413;58;
383;10:25:18;340;9468;59;
384;10:25:28;340;9522;59;
385;10:25:38;336,5;9576;59;
386;10:25:48;333;9631;58;
387;10:25:58;329,5;9685;58;
388;10:26:08;329,5;9740;58;
389;10:26:18;329,5;9794;58;
390;10:26:28;329,5;9849;58;
391;10:26:38;326;9903;58;
392;10:26:48;322,5;9958;58;
393;10:26:58;322,5;10012;58;
394;10:27:08;319;10067;58;
395;10:27:18;322,5;10121;58;
396;10:27:28;326;10176;58;
397;10:27:38;329,5;10231;58;
398;10:27:48;329,5;10285;58;
399;10:27:58;336,5;10340;58;
400;10:28:08;340;10395;58;
401;10:28:18;340;10450;58;
402;10:28:28;336,5;10504;58;
403;10:28:38;340;10559;58;
404;10:28:48;340;10614;58;
405;10:28:58;340;10669;58;
406;10:29:08;343,5;10719;58;
407;10:29:18;340;10774;58;
408;10:29:28;340;10829;58;
409;10:29:38;336,5;10884;58;
410;10:29:48;340;10939;58;
411;10:29:58;336,5;10994;58;
412;10:30:08;333;11049;58;
413;10:30:18;333;11105;58;
414;10:30:28;336,5;11160;58;
415;10:30:38;336,5;11215;58;
416;10:30:48;336,5;11270;58;
417;10:30:58;333;11326;57;
418;10:31:08;329,5;11381;57;
419;10:31:18;329,5;11436;57;
420;10:31:28;329,5;11492;57;
421;10:31:38;333;11547;57;
422;10:31:48;333;11602;58;
423;10:31:58;333;11658;57;
424;10:32:08;333;11713;57;
425;10:32:18;333;11769;57;
426;10:32:28;333;11824;57;
427;10:32:38;329,5;11880;58;
428;10:32:48;333;11935;57;
429;10:32:58;336,5;11990;57;
430;10:33:08;340;12046;57;
431;10:33:18;340;12102;57;
432;10:33:28;340;12157;57;
433;10:33:38;340;12213;57;
434;10:33:48;340;12268;57;
435;10:33:58;343,5;12324;57;
436;10:34:08;343,5;12379;57;
437;10:34:18;347;12435;57;
438;10:34:28;343,5;12491;57;
439;10:34:38;347;12546;57;
440;10:34:48;343,5;12602;57;
441;10:34:58;343,5;12658;57;
442;10:35:08;343,5;12708;57;
443;10:35:18;343,5;12764;57;
444;10:35:28;343,5;12819;57;
445;10:35:38;343,5;12875;57;
446;10:35:48;347;12931;57;
447;10:35:58;340;12987;57;
448;10:36:08;340;13042;57;
449;10:36:18;336,5;13098;57;
450;10:36:28;340;13154;57;
451;10:36:38;336,5;13210;56;
452;10:36:48;336,5;13266;57;
453;10:36:58;336,5;13322;57;
454;10:37:08;336,5;13377;57;
455;10:37:18;336,5;13433;57;
456;10:37:28;336,5;13489;57;
457;10:37:38;336,5;13545;57;
458;10:37:48;333;13601;57;
459;10:37:58;336,5;13657;57;
460;10:38:08;336,5;13713;57;
461;10:38:18;340;13768;56;
462;10:38:28;336,5;13824;56;
463;10:38:38;336,5;13880;56;
464;10:38:48;336,5;13936;57;
465;10:38:58;336,5;13992;57;
466;10:39:08;333;14048;57;
467;10:39:18;333;14104;57;
468;10:39:28;333;14160;56;
469;10:39:38;333;14217;57;
470;10:39:48;333;14273;57;
471;10:39:58;333;14329;56;
472;10:40:08;333;14385;56;
473;10:40:18;329,5;14441;56;
474;10:40:28;336,5;14497;56;
475;10:40:38;336,5;14553;56;
476;10:40:48;336,5;14609;56;
477;10:40:58;336,5;14665;56;
478;10:41:08;336,5;14722;56;
479;10:41:18;336,5;14772;56;
480;10:41:28;340;14829;56;
481;10:41:38;336,5;14885;56;
482;10:41:48;336,5;14941;56;
483;10:41:58;336,5;14997;56;
484;10:42:08;336,5;15054;56;
485;10:42:18;340;15110;56;
486;10:42:28;336,5;8;56;
487;10:42:38;333;64;56;
488;10:42:48;333;120;54;
489;10:42:58;333;177;53;
490;10:43:08;336,5;233;53;
491;10:43:18;333;289;53;
492;10:43:28;333;345;53;
493;10:43:38;336,5;402;53;
494;10:43:48;340;458;54;
495;10:43:58;336,5;514;54;
496;10:44:08;336,5;570;53;
497;10:44:18;336,5;626;53;
498;10:44:28;336,5;682;54;
499;10:44:38;340;739;53;
500;10:44:48;340;795;54;
501;10:44:58;340;851;54;
502;10:45:08;336,5;907;54;
503;10:45:18;340;963;54;
504;10:45:28;340;1019;54;
505;10:45:38;336,5;1075;54;
506;10:45:48;333;1131;54;
507;10:45:58;336,5;1187;54;
508;10:46:08;336,5;1243;54;
509;10:46:18;333;1299;54;
510;10:46:28;333;1354;54;
511;10:46:38;333;1410;54;
512;10:46:48;333;1466;54;
513;10:46:58;333;1522;54;
514;10:47:08;329,5;1572;54;
515;10:47:18;329,5;1628;54;
516;10:47:28;322,5;1684;54;
517;10:47:38;326;1739;54;
518;10:47:48;322,5;1795;54;
519;10:47:58;322,5;1851;54;
520;10:48:08;319;1907;54;
521;10:48:18;322,5;1962;54;
522;10:48:28;322,5;2018;54;
523;10:48:38;326;2074;54;
524;10:48:48;326;2129;54;
525;10:48:58;326;2185;54;
526;10:49:08;329,5;2240;54;
527;10:49:18;326;2296;54;
528;10:49:28;333;2351;54;
529;10:49:38;333;2407;54;
530;10:49:48;336,5;2462;54;
531;10:49:58;336,5;2518;54;
532;10:50:08;340;2573;54;
533;10:50:18;336,5;2628;54;
534;10:50:28;340;2684;54;
535;10:50:38;336,5;2739;54;
536;10:50:48;336,5;2795;54;
537;10:50:58;336,5;2850;54;
538;10:51:08;336,5;2905;55;
539;10:51:18;340;2961;54;
540;10:51:28;336,5;3016;54;
541;10:51:38;333;3071;54;
542;10:51:48;333;3126;55;
543;10:51:58;329,5;3182;54;
544;10:52:08;333;3237;54;
545;10:52:18;333;3292;55;
546;10:52:28;329,5;3347;54;
547;10:52:38;326;3402;54;
548;10:52:48;322,5;3457;55;
549;10:52:58;322,5;3512;55;
550;10:53:08;322,5;3562;54;
551;10:53:18;322,5;3617;54;
552;10:53:28;326;3672;55;
553;10:53:38;329,5;3727;55;
554;10:53:48;329,5;3782;54;
555;10:53:58;333;3836;55;
556;10:54:08;329,5;3891;55;
557;10:54:18;329,5;3946;55;
558;10:54:28;329,5;4001;55;
559;10:54:38;333;4056;54;
560;10:54:48;336,5;4111;54;
561;10:54:58;336,5;4166;55;
562;10:55:08;336,5;4220;55;
563;10:55:18;333;4275;54;
564;10:55:28;329,5;4330;55;
565;10:55:38;329,5;4384;55;
566;10:55:48;329,5;4439;55;
567;10:55:58;326;4494;55;
568;10:56:08;322,5;4548;55;
569;10:56:18;322,5;4603;55;
570;10:56:28;322,5;4658;55;
571;10:56:38;322,5;4712;55;
572;10:56:48;322,5;4766;55;
573;10:56:58;322,5;4821;55;
574;10:57:08;319;4875;55;
575;10:57:18;319;4930;55;
576;10:57:28;322,5;4984;55;
577;10:57:38;319;5039;55;
578;10:57:48;315,5;5093;55;
579;10:57:58;315,5;5147;55;
580;10:58:08;315,5;5202;55;
581;10:58:18;312;5256;55;
582;10:58:28;312;5311;55;
583;10:58:38;312;5365;55;
584;10:58:48;315,5;5419;55;
585;10:58:58;312;5474;55;
586;10:59:08;315,5;5528;55;
587;10:59:18;319;5577;55;
588;10:59:28;315,5;5631;55;
589;10:59:38;319;5685;55;
590;10:59:48;319;5740;56;
591;10:59:58;322,5;5794;55;
592;11:00:08;326;5848;56;
593;11:00:18;333;5902;56;
594;11:00:28;336,5;5957;56;
595;11:00:38;340;6011;55;
596;11:00:48;336,5;6065;55;
597;11:00:58;336,5;6119;56;
598;11:01:08;333;6174;55;
599;11:01:18;329,5;6228;55;
600;11:01:28;326;6282;56;
601;11:01:38;322,5;6337;56;
602;11:01:48;326;6391;55;
603;11:01:58;326;6445;56;
604;11:02:08;322,5;6500;55;
605;11:02:18;319;6554;55;
606;11:02:28;315,5;6608;55;
607;11:02:38;308,5;6663;55;
608;11:02:48;308,5;6717;55;
609;11:02:58;312;6771;55;
610;11:03:08;315,5;6826;55;
611;11:03:18;319;6880;55;
612;11:03:28;322,5;6934;55;
613;11:03:38;326;6989;55;
614;11:03:48;326;7043;55;
615;11:03:58;326;7097;55;
616;11:04:08;326;7152;55;
617;11:04:18;326;7206;55;
618;11:04:28;305,1666667;7261;55;
619;11:04:38;280,9166667;7315;56;
620;11:04:48;253,1666667;7369;55;
621;11:04:58;225,4166667;7424;56;
622;11:05:08;197,6666667;7473;55;
623;11:05:18;169,9166667;7527;55;
624;11:05:28;142,1666667;7582;55;
625;11:05:38;114,4166667;7636;55;
626;11:05:48;86,66666667;7690;55;
627;11:05:58;58,91666667;7745;55;
628;11:06:08;34,66666667;7799;55;
629;11:06:18;6,916666667;7832;1;
630;11:06:28;0;7832;3;
631;11:06:38;0;7832;3;
632;11:06:48;0;7832;2;
633;11:06:58;0;7832;1;
634;11:07:08;0;7832;1;
635;11:07:18;0;7832;1;
636;11:07:28;0;7832;1;
637;11:07:38;0;7832;0;
638;11:07:48;0;7832;0;
639;11:07:58;0;7832;0;
640;11:08:08;0;7832;0;
641;11:08:18;0;7832;0;
642;11:08:28;0;7832;0;
643;11:08:38;0;7832;0;
644;11:08:48;0;7832;0;
645;11:08:58;0;7832;0;
646;11:09:08;0;7832;0;
647;11:09:18;0;7832;0;
648;11:09:28;0;7832;0;
649;11:09:38;0;7832;0;
650;11:09:48;0;7832;0;
651;11:09:58;0;7832;0;
652;11:10:08;0;7832;0;
653;11:10:18;0;7832;0;
654;11:10:28;0;7832;0;
655;11:10:38;0;7832;0;
656;11:10:48;0;7832;0;
657;11:10:58;0;7832;0;
658;11:11:08;0;7832;0;
659;11:11:18;0;7832;0;
660;11:11:28;0;7832;0;
661;11:11:38;0;7832;0;
662;11:11:48;0;7832;0;
663;11:11:58;0;7832;0;
664;11:12:08;0;7832;0;
665;11:12:18;0;7832;0;
666;11:12:28;0;7832;0;
667;11:12:38;0;7834;0;
668;11:12:48;0;7834;0;
669;11:12:58;0;7834;0;
670;11:13:08;0;7834;0;
671;11:13:18;0;7834;0;
672;11:13:28;0;7834;0;
673;11:13:38;0;7834;0;
674;11:13:48;0;7834;0;
675;11:13:58;0;7834;0;
676;11:14:08;0;7834;0;
677;11:14:18;0;7834;0;
678;11:14:28;0;7834;0;
679;11:14:38;0;7834;0;
680;11:14:48;0;7834;0;
681;11:14:58;0;7834;0;
682;11:15:08;0;7834;0;
683;11:15:18;0;7834;0;
684;11:15:28;0;7834;0;
685;11:15:38;0;7834;0;
686;11:15:48;0;7834;0;
687;11:15:58;0;7834;0;
688;11:16:08;0;7834;0;
689;11:16:18;0;7836;0;
690;11:16:28;0;7836;0;
691;11:16:38;0;7836;0;
692;11:16:48;0;7836;0;
693;11:16:58;0;7836;0;
694;11:17:08;0;7836;0;
695;11:17:18;0;7836;0;
696;11:17:28;0;7836;0;
697;11:17:38;0;7836;0;
698;11:17:48;0;7836;0;
699;11:17:58;0;7836;0;
700;11:18:08;0;7836;0;
701;11:18:18;0;7836;0;
702;11:18:28;0;7836;0;
703;11:18:38;0;7836;0;
704;11:18:48;0;7836;0;
705;11:18:58;0;7836;0;
706;11:19:08;0;7836;0;
707;11:19:18;0;7836;0;
708;11:19:28;0;7836;0;
709;11:19:38;0;7836;0;
710;11:19:48;0;7836;0;
711;11:19:58;0;0;0;
712;11:20:08;0;0;0;
713;11:20:18;0;0;0;
714;11:20:28;0;0;0;
715;11:20:38;0;0;0;
716;11:20:48;13,83333333;0;0;
717;11:20:58;24,25;0;0;
718;11:21:08;34,66666667;0;0;
719;11:21:18;48,5;0;0;
720;11:21:28;58,91666667;0;0;
721;11:21:38;69,33333333;0;0;
722;11:21:48;83,16666667;0;0;
723;11:21:58;83,16666667;0;0;
724;11:22:08;83,16666667;0;0;
725;11:22:18;83,16666667;0;0;
726;11:22:28;83,16666667;0;0;
727;11:22:38;90,72727273;4;0;
728;11:22:48;83,2;25;0;
729;11:22:58;78,55555556;46;0;
730;11:23:08;72,75;72;0;
731;11:23:18;59,42857143;98;0;
732;11:23:28;48,5;125;0;
733;11:23:38;33,2;151;0;
734;11:23:48;0;158;0;
735;11:23:58;0;158;0;
736;11:24:08;0;158;0;
737;11:24:18;0;158;0;
